Po,ARROW_DAMAGE,Power
Fl,ARROW_FIRE,Flame
I,ARROW_INFINITE,Infinite
Pu,ARROW_KNOCKBACK,Punch
CoB,BINDING_CURSE,Curse of Binding
S,DAMAGE_ALL,Sharpness
BoA,DAMAGE_ARTHROPODS,Bane of Arthropods
Sm,DAMAGE_UNDEAD,Smite
DS,DEPTH_STRIDER,Depth Strider
E,DIG_SPEED,Efficiency
U,DURABILITY,Unbreaking
FA,FIRE_ASPECT,Fire Aspect
FW,FROST_WALKER,Frost Walker
K,KNOCKBACK,Knockback
F,LOOT_BONUS_BLOCKS,Fortune
L,LOOT_BONUS_MOBS,Looting
LS,LUCK,Luck of the Sea
Lu,LURE,Lure
M,MENDING,Mending
R,OXYGEN,Respiration
P,PROTECTION_ENVIRONMENTAL,Protection
BP,PROTECTION_EXPLOSIONS,Blast Protection
FF,PROTECTION_FALL,Feather Falling
FP,PROTECTION_FIRE,Fire Protection
PP,PROTECTION_PROJECTILE,Projectile Protection
ST,SILK_TOUCH,Silk Touch
SE,SWEEPING_EDGE,Sweeping Edge
T,THORNS,Thorns
CoV,VANISHING_CURSE,Curse of Vanishing
AA,WATER_WORKER,Aqua Affinity
